state	county	wheat1_a	wheat1_y	wheat2_a	wheat2_y	oats_a	oats_y	rice_a	rice_y	corn_a	corn_y	cotton_a	cotton_y	scane_a	scane_y
13	990	13960	201889	487	6152	10867	304924	0	0	5994	211042	0	0	0	0
13	1010	6637	85121	201	2396	35929	697572	0	0	2388	72836	0	0	0	0
13	1030	636	13488	38	506	867	31812	0	0	2869	82363	0	0	0	0
13	1050	32	575	8	96	2276	80621	0	0	1236	49958	0	0	0	0
13	1070	1551	25627	111	1816	11155	313686	0	0	1538	60969	0	0	0	0
13	1090	4834	72505	113	1688	6399	190225	0	0	2608	87302	0	0	0	0
13	1110	1540	25648	45	441	2382	59692	0	0	4359	161034	0	0	0	0
13	1130	0	0	1	10	455	12218	0	0	790	25655	0	0	0	0
13	1150	194	4435	51	563	11822	273354	0	0	9437	330947	0	0	0	0
13	1170	17121	368562	360	7423	18174	503256	0	0	13206	420085	0	0	0	0
13	1190	28	755	0	0	70	1833	0	0	246	9653	0	0	0	0
13	1210	8930	139345	114	1449	11484	253172	0	0	699	22091	0	0	0	0
13	1230	11543	198379	103	1688	6334	162557	0	0	4506	136036	0	0	0	0
13	0	254203	4567441	7225	112442	622787	16916379	0	0	167638	5752393	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0	0	0
															
14	10	33970	522789	259	3728	11704	365111	0	0	35987	1288134	0	0	0	0
14	30	5665	46021	178	2223	7859	161569	0	0	10635	345626	0	0	0	0
14	50	13242	126726	105	871	17599	409349	0	0	16394	632044	0	0	0	0
14	70	4348	27520	91	512	7854	166450	0	0	9773	329679	0	0	0	0
14	90	20410	245810	165	2491	18056	485399	0	0	22574	752559	0	0	0	0
14	110	50171	883889	453	7401	36167	1053523	0	0	52015	2140394	0	0	0	0
14	130	9821	115657	183	2264	9422	258795	0	0	11357	399133	0	0	0	0
14	150	3309	42394	324	4636	26257	639326	0	0	7343	270069	0	0	0	0
14	170	23268	496122	845	15074	16438	489406	0	0	30965	1226873	0	0	0	0
14	190	12555	98598	409	5842	22273	574578	0	0	18297	639522	0	0	0	0
14	210	4100	71673	200	3635	12686	366113	0	0	6798	188827	0	0	0	0
14	230	2	15	7	118	567	14896	0	0	507	16131	0	0	0	0
14	250	2922	41689	42	600	3588	105289	0	0	2802	78567	0	0	0	0
14	270	21710	250066	166	1688	21277	604819	0	0	21783	875833	0	0	0	0
14	290	27300	688016	30	500	16123	604804	0	0	42054	2089092	0	0	0	0
14	310	12701	150560	121	1410	18730	571021	0	0	12212	451349	0	0	0	0
14	330	4496	58677	81	1013	12499	340853	0	0	8638	258028	0	0	0	0
14	350	6487	60494	129	1552	6092	116676	0	0	6950	259985	0	0	0	0
14	370	18977	275946	222	3602	17977	498762	0	0	19122	726941	0	0	0	0
14	390	7281	119711	157	2717	31236	790452	0	0	18769	695426	0	0	0	0
14	410	37516	604490	190	2841	22666	498026	0	0	37550	1359656	0	0	0	0
14	430	21406	327443	339	5643	18404	529856	0	0	25026	963059	0	0	0	0
14	450	2106	53998	0	0	997	39409	0	0	4540	208045	0	0	0	0
14	470	87	1306	76	983	3004	71602	0	0	589	15464	0	0	0	0
14	490	4072	69724	163	2285	21418	397180	0	0	12616	441298	0	0	0	0
14	510	8230	119055	318	3555	11314	293443	0	0	16431	543475	0	0	0	0
14	530	464	6390	2	30	1284	31841	0	0	711	25604	0	0	0	0
14	550	62895	1015398	258	3983	4301	112105	0	0	47868	1727084	0	0	0	0
14	570	14946	166321	35	372	2291	49096	0	0	11701	321197	0	0	0	0
14	590	5382	58472	125	1725	6305	143021	0	0	16212	575985	0	0	0	0
14	610	15666	169236	200	2590	11332	291567	0	0	15827	549246	0	0	0	0
14	630	14886	189898	156	1760	20479	525062	0	0	20101	679723	0	0	0	0
14	650	6913	89957	210	2293	16064	444332	0	0	9258	294955	0	0	0	0
14	670	13772	189057	13	130	11365	282057	0	0	13354	501352	0	0	0	0
14	690	41	696	8	117	2622	76046	0	0	481	15792	0	0	0	0
14	710	85404	2049174	0	0	12038	406153	0	0	85401	4170850	0	0	0	0
14	730	8444	80241	88	386	13064	326569	0	0	13228	548425	0	0	0	0
14	750	24244	464229	306	6522	13841	449681	0	0	24652	1019402	0	0	0	0
14	770	23292	428816	166	3221	12664	410514	0	0	18284	726745	0	0	0	0
14	790	4779	68250	137	1646	8429	221406	0	0	7094	242004	0	0	0	0
14	810	16910	171139	121	793	21288	535190	0	0	21216	818265	0	0	0	0
14	830	17	422	6	93	2775	64125	0	0	66	1763	0	0	0	0
14	850	10993	157330	89	1337	25091	670925	0	0	22051	820129	0	0	0	0
14	870	12778	170866	151	2307	10019	261051	0	0	12524	478368	0	0	0	0
14	890	3740	54615	39	408	5161	156809	0	0	5120	186207	0	0	0	0
14	910	17916	361916	133	2193	9218	246828	0	0	23998	910186	0	0	0	0
14	930	8766	109586	28	192	8659	222293	0	0	8367	301426	0	0	0	0
14	950	20545	439002	198	3222	16677	576865	0	0	20501	823939	0	0	0	0
14	970	22350	295426	95	1014	21155	502133	0	0	21166	815501	0	0	0	0
14	990	18340	236228	207	2683	15559	450616	0	0	18239	593200	0	0	0	0
