state	county	corn_a	corn_y	wheat_a	wheat_y	oats_a	oats_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
13	1090	844	38440	1413	28816	10372	257590	0	0	0	0	0	0
13	1110	1412	58702	3686	61766	6766	156822	0	0	0	0	0	0
13	1130	3858	152480	1421	25077	2048	51537	0	0	0	0	0	0
13	1150	365	14958	3	69	509	11922	0	0	0	0	0	0
13	1170	7391	304510	247	4471	14131	356779	0	0	0	0	0	0
13	1190	9427	356398	13921	216209	16564	300001	0	0	0	0	0	0
13	1210	207	8995	36	876	123	2910	0	0	0	0	0	0
13	1230	452	16721	7559	131954	13660	259058	0	0	0	0	0	0
13	0	2940	102759	9766	171171	5659	112721	0	0	0	0	0	0
		110694	4283820	238874	3817648	558462	12775284	0	0	0	0	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
14	10												
14	30	33225	1015298	38419	596320	11165	266353	0	0	0	0	0	0
14	50	7583	259986	5659	93350	10525	297860	0	0	0	0	0	0
14	70	13132	440591	8805	117252	15781	400947	0	0	0	0	0	0
14	90	5579	186054	5950	94689	8508	229943	0	0	0	0	0	0
14	110	19951	570830	19456	263214	18317	484587	0	0	0	0	0	0
14	130	48408	1800334	55626	968484	34144	912840	0	0	0	0	0	0
14	150	9771	285889	9116	139515	9792	277218	0	0	0	0	0	0
14	170	2393	76995	4243	83568	23956	439914	0	0	0	0	0	0
14	190	28760	1132089	24431	508868	14649	386486	0	0	0	0	0	0
14	210	13785	489387	11749	184596	20324	581649	0	0	0	0	0	0
14	230	4654	160885	2840	51902	12723	387457	0	0	0	0	0	0
14	250	126	4883	10	172	213	5749	0	0	0	0	0	0
14	270	2657	74350	2829	51337	3593	104325	0	0	0	0	0	0
14	290	21825	747262	22421	327568	21601	600106	0	0	0	0	0	0
14	310	36403	1673051	34811	870147	16489	531360	0	0	0	0	0	0
14	330	10012	386319	10325	158939	18349	506410	0	0	0	0	0	0
14	350	6956	254942	3631	57795	12728	342152	0	0	0	0	0	0
14	370	6338	196168	7025	113087	6632	182516	0	0	0	0	0	0
14	390	18631	668811	19868	376080	18371	491741	0	0	0	0	0	0
14	410	8508	256056	5478	86898	28026	676079	0	0	0	0	0	0
14	430	36863	1122794	44537	686953	19833	442203	0	0	0	0	0	0
14	450	25160	1114251	23974	410085	19072	471824	0	0	0	0	0	0
14	470	3338	147298	1837	46027	947	32511	0	0	0	0	0	0
14	490	411	11960	236	3958	3534	98821	0	0	0	0	0	0
14	510	5755	177222	3172	58949	22377	548827	0	0	0	0	0	0
14	530	12714	440048	6373	112342	11661	358937	0	0	0	0	0	0
14	550	514	17487	474	7268	1486	37200	0	0	0	0	0	0
14	570	45220	1365894	71315	1043433	7877	200911	0	0	0	0	0	0
14	590	10993	277459	13363	144384	3900	80030	0	0	0	0	0	0
14	610	14469	499633	2645	35670	7568	183311	0	0	0	0	0	0
14	630	16317	452783	15566	190153	12085	292080	0	0	0	0	0	0
14	650	16380	569669	9638	134807	20772	560618	0	0	0	0	0	0
14	670	7701	274547	4250	60530	16328	426802	0	0	0	0	0	0
14	690	13121	399445	14672	190323	11955	314054	0	0	0	0	0	0
14	710	232	7950	41	804	3438	93517	0	0	0	0	0	0
14	730	80527	4009118	99785	2320985	14192	403846	0	0	0	0	0	0
14	750	7798	311117	7802	118898	11200	246439	0	0	0	0	0	0
14	770	23723	1035881	28590	523513	14592	387778	0	0	0	0	0	0
14	790	17480	607238	25542	464416	10133	271853	0	0	0	0	0	0
14	810	5884	229817	5269	97707	7476	193938	0	0	0	0	0	0
14	830	20070	687278	18740	340296	21849	648223	0	0	0	0	0	0
14	850	54	1348	101	1964	3420	86342	0	0	0	0	0	0
14	870	11941	339498	8639	122556	21138	455939	0	0	0	0	0	0
14	890	11753	477195	13741	189840	10362	284554	0	0	0	0	0	0
14	910	5117	167475	3216	50977	5293	150254	0	0	0	0	0	0
14	930	19909	820316	17643	359113	8853	247587	0	0	0	0	0	0
14	950	7975	291546	9049	166738	7896	194893	0	0	0	0	0	0
14	970	19797	857404	23161	407186	14890	429479	0	0	0	0	0	0
14	990	20695	820741	24087	406536	20157	503669	0	0	0	0	0	0
14	1010	18109	522899	20014	274494	16092	394502	0	0	0	0	0	0
14	1030	1077	45330	641	15947	151	4620	0	0	0	0	0	0
14	1050	359	11914	125	1877	655	19443	0	0	0	0	0	0
14	1070	205	5079	59	1134	9007	202538	0	0	0	0	0	0
14	1090	13658	457602	14965	275398	13833	386578	0	0	0	0	0	0
14	1110	15433	591243	18018	244081	14252	336797	0	0	0	0	0	0
14	1130	9850	381233	8712	168673	33529	1145374	0	0	0	0	0	0
14	1150	917	27423	348	5301	3523	89371	0	0	0	0	0	0
14	1170	683	22916	188	4035	9591	244956	0	0	0	0	0	0
14	1190	626	20513	752	13005	21752	404648	0	0	0	0	0	0
