state	county	corn_a	corn_y	oats_a	oats_y	wheat_a	wheat_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
21	390	80316	4396069	17616	496711	10121	210918	0	0	0	0	0	0
21	410	77339	4172821	19717	607441	8920	200346	0	0	0	0	0	0
21	430	30298	1526731	19038	685697	2424	55133	0	0	0	0	0	0
21	450	97560	5185726	25238	638116	30063	574900	0	0	0	0	0	0
21	470	21961	676184	5152	110101	11949	189234	0	0	0	0	0	0
21	490	43219	1350214	20041	368574	14793	274791	0	0	0	0	0	0
21	510	65823	2296704	19424	351904	18875	312442	0	0	0	0	0	0
21	530	107867	5736488	62670	1861007	1468	30680	0	0	0	0	0	0
21	550	25379	555123	5575	96033	10389	159246	0	0	0	0	0	0
21	570	102973	5407273	34636	1073623	34423	625216	0	0	0	0	0	0
21	590	39410	1381240	2626	43616	14694	205643	0	0	0	0	0	0
21	610	66786	3589024	8893	264987	34804	745992	0	0	0	0	0	0
21	630	98708	5081492	49163	1728230	954	17933	0	0	0	0	0	0
21	650	33601	824072	7676	141899	9799	132288	0	0	0	0	0	0
21	670	87190	4257406	40061	1316769	38063	728260	0	0	0	0	0	0
21	690	8067	229638	21	310	279	2925	0	0	0	0	0	0
21	710	56270	3136013	17908	524095	9891	211325	0	0	0	0	0	0
21	730	160219	9607213	80799	2768386	3376	77869	0	0	0	0	0	0
21	750	243595	12443925	132073	3590458	6710	132011	0	0	0	0	0	0
21	770	37356	1254951	5533	100967	29023	497692	0	0	0	0	0	0
21	790	58396	2012351	15017	264699	5689	88711	0	0	0	0	0	0
21	810	41001	994191	8610	145403	9388	143595	0	0	0	0	0	0
21	830	33562	1623471	6414	167069	28055	626676	0	0	0	0	0	0
21	850	45353	2595450	34237	1048093	443	5933	0	0	0	0	0	0
21	870	18101	489589	417	5954	941	9987	0	0	0	0	0	0
21	890	69706	4093452	42715	1717478	2664	59653	0	0	0	0	0	0
21	910	131497	6326128	59912	1984229	7680	162250	0	0	0	0	0	0
21	930	63769	3649368	42275	1757024	1435	30094	0	0	0	0	0	0
21	950	119204	6920201	42328	1369135	5146	105371	0	0	0	0	0	0
21	970	23091	1021959	19631	686130	2206	43105	0	0	0	0	0	0
21	990	253305	14997428	128790	4972488	3518	70768	0	0	0	0	0	0
21	1010	41461	1334514	4717	82980	19458	303193	0	0	0	0	0	0
21	1030	134050	7711948	80742	2827904	4758	112729	0	0	0	0	0	0
21	1050	250657	13783733	155963	4846190	2121	40601	0	0	0	0	0	0
21	1070	115227	6810871	34649	1116206	55636	1382787	0	0	0	0	0	0
21	1090	93706	5558814	32359	1195472	28214	647021	0	0	0	0	0	0
21	1110	56782	2928359	43349	1485978	2480	41137	0	0	0	0	0	0
21	1130	268098	15701766	109202	3407689	12878	257298	0	0	0	0	0	0
21	1150	100126	5477907	14244	403154	29557	679882	0	0	0	0	0	0
21	1170	85616	3948869	27928	742400	54796	1247746	0	0	0	0	0	0
21	1190	62089	2679313	19491	431601	91156	2038058	0	0	0	0	0	0
21	1210	37042	966237	11297	201061	10386	184633	0	0	0	0	0	0
21	1230	74769	4192544	40425	1332920	4149	76528	0	0	0	0	0	0
21	1250	75620	3357776	17530	453141	54693	1074427	0	0	0	0	0	0
21	1270	18031	583744	1819	33914	4220	54701	0	0	0	0	0	0
21	1290	45061	2363907	12007	387182	29347	649062	0	0	0	0	0	0
21	1310	95483	5707548	33649	983833	4157	85004	0	0	0	0	0	0
21	1330	26241	1249116	9140	212883	51511	1155994	0	0	0	0	0	0
21	1350	72211	3130568	28729	683490	44602	948565	0	0	0	0	0	0
21	1370	81616	4368323	21502	745120	48611	1145906	0	0	0	0	0	0
21	1390	55452	3139603	12015	347156	13009	307765	0	0	0	0	0	0
21	1410	111695	6101467	93418	3054386	1673	28044	0	0	0	0	0	0
21	1430	83686	4442093	33385	1000018	12781	253381	0	0	0	0	0	0
21	1450	26631	652585	12194	189068	24805	365588	0	0	0	0	0	0
21	1470	78190	4655083	15944	493886	16581	391721	0	0	0	0	0	0
21	1490	87898	4472794	21397	563641	47594	848221	0	0	0	0	0	0
21	1510	16830	478895	1000	17206	2063	26236	0	0	0	0	0	0
21	1530	17192	464277	1755	33663	3900	53693	0	0	1164	916	0	0
21	1550	26250	1553424	12065	459862	3294	62811	0	0	0	0	0	0
21	1570	36550	1371897	11549	237718	60256	1051230	0	0	0	0	0	0
21	1590	30428	745118	9474	151701	5961	85342	0	0	0	0	0	0
21	1610	58157	3335611	20910	613485	2756	52982	0	0	0	0	0	0
21	1630	47241	2228392	24520	636394	81019	2017298	0	0	0	0	0	0
21	1650	31057	934556	5187	105519	12324	176598	0	0	0	0	0	0
21	1670	134264	6971672	34390	1140019	65194	1605045	0	0	0	0	0	0
21	1690	40463	2004014	14478	462012	22875	432272	0	0	0	0	0	0
21	1710	34692	1922104	3662	98602	21456	487055	0	0	0	0	0	0
21	1730	105393	4761540	20663	419137	18641	368019	0	0	0	0	0	0
21	1750	61384	3616668	27268	908144	1670	33752	0	0	0	0	0	0
21	1770	70055	3906641	61226	1919095	574	7759	0	0	0	0	0	0
21	1790	106936	6119104	39671	1268770	32725	635078	0	0	0	0	0	0
21	1810	23612	745895	675	12768	8289	147818	0	0	0	0	0	0
21	1830	154957	7728289	35475	827655	20898	401729	0	0	0	0	0	0
21	1850	24777	918545	3145	59800	16604	273432	0	0	0	0	0	0
21	1870	106766	6757231	35520	1118554	5509	144716	0	0	0	0	0	0
21	1890	32789	1080859	15285	364080	78222	1573397	0	0	0	0	0	0
21	1910	56173	1426497	4890	89517	6238	85048	0	0	0	0	0	0
21	1930	65826	2273544	6584	122841	34035	457223	0	0	0	0	0	0
21	1950	122252	7378785	64475	2253468	10874	253642	0	0	0	0	0	0
21	1970	141777	6615976	77686	2611276	8232	143948	0	0	0	0	0	0
21	1990	22648	467687	2014	36019	5142	63154	0	0	0	0	0	0
21	2010	56617	2949664	46542	1312386	1408	19870	0	0	0	0	0	0
21	2030	102331	6285352	59311	1973986	4539	90929	0	0	0	0	0	0
21	0	7510683	382457687	2972280	92108749	1868350	38107733	0	0	4222	4169	0	0
		0	0	0	0	0	0	0	0	0	0		
													
22	10	40262	2128576	19394	539109	15712	285459	0	0	0	0	0	0
22	30	75762	3807941	39755	1120381	27202	558945	0	0	0	0	0	0
22	50	43368	1979318	1599	25084	30210	422902	0	0	0	0	0	0
22	70	86321	4420235	38584	973447	5726	123691	0	0	0	0	0	0
22	90	20416	1009440	5769	121105	4822	84238	0	0	0	0	0	0
22	110	65415	3597128	20769	496252	15987	314870	0	0	0	0	0	0
22	130	7112	193463	11	225	396	3812	0	0	0	0	0	0
22	150	56013	3173906	17257	447795	18325	373597	0	0	0	0	0	0
22	170	57022	2924327	16067	447579	16893	354899	0	0	0	0	0	0
22	190	21823	735249	1671	40987	8573	104042	0	0	0	0	0	0
22	210	31585	1303995	2277	38725	15562	211896	0	0	0	0	0	0
22	230	64000	3647689	18886	511790	27457	591947	0	0	0	0	0	0
22	250	12933	310799	614	11637	3321	33243	0	0	0	0	0	0
22	270	47769	1724629	5692	103083	18321	278847	0	0	0	0	0	0
22	290	17892	590696	588	9604	9621	129438	0	0	0	0	0	0
22	310	44721	2274301	1592	25334	30615	472782	0	0	0	0	0	0
22	330	34163	1730312	17737	484155	19433	383481	0	0	0	0	0	0
22	350	52385	2970484	11245	233143	14323	295591	0	0	0	0	0	0
22	370	27417	951606	10508	235830	22027	326215	0	0	0	0	0	0
22	390	41649	2176746	16276	461876	24487	507493	0	0	0	0	0	0
22	410	26108	1523147	789	15786	16124	244945	0	0	0	0	0	0
22	430	7111	221759	541	14042	2690	40830	0	0	0	0	0	0
22	450	49836	2378955	15431	287201	16568	262491	0	0	0	0	0	0
22	470	34268	1672933	407	7047	20501	316834	0	0	0	0	0	0
22	490	46576	2230887	9343	213308	8778	169721	0	0	0	0	0	0
22	510	56403	2153974	2423	51809	30019	498909	0	0	0	0	0	0
22	530	54177	3072471	16337	398762	11178	232262	0	0	0	0	0	0
22	550	39643	1545883	5564	108206	13385	211761	0	0	0	0	0	0
22	570	59425	3462635	15292	375513	20030	421874	0	0	0	0	0	0
22	590	49531	2642529	10821	214213	19042	339921	0	0	0	0	0	0
22	610	26514	728831	3157	75286	13553	170292	0	0	0	0	0	0
22	630	56063	2925117	11118	221343	18599	328838	0	0	0	0	0	0
22	650	60270	3500257	11610	245289	23094	441876	0	0	0	0	0	0
22	670	45828	2780575	13913	428765	13263	320718	0	0	0	0	0	0
22	690	47165	2569199	26601	702369	14740	318938	0	0	0	0	0	0
22	710	39803	1455347	2855	46948	21794	302855	0	0	0	0	0	0
22	730	80560	3853788	28648	620445	8793	187351	0	0	0	0	0	0
22	750	45558	2088224	15808	322169	14625	231004	0	0	0	0	0	0
22	770	21657	572084	634	14952	7821	99152	0	0	0	0	0	0
22	790	24486	640550	596	9865	7492	95989	0	0	0	0	0	0
22	810	44525	2511505	3113	64149	25141	473655	0	0	0	0	0	0
22	830	67847	2623132	6903	126777	40947	717250	0	0	0	0	0	0
22	850	64014	3337946	19731	529337	22506	417969	0	0	0	0	0	0
22	870	34880	1743889	12171	348842	20137	310985	0	0	0	0	0	0
22	890	47188	2248794	20842	584464	10379	222209	0	0	0	0	0	0
22	910	63955	2903485	19565	560103	29020	594439	0	0	0	0	0	0
22	930	21146	697440	1631	27349	5198	67342	0	0	0	0	0	0
22	950	69589	3970407	17774	421609	21764	463132	0	0	0	0	0	0
22	970	37895	1799326	6614	126591	14980	289294	0	0	0	0	0	0
22	990	47763	2326964	12741	366805	16748	344815	0	0	0	0	0	0
22	1010	13541	473449	1607	25955	3097	38522	0	0	0	0	0	0
22	1030	48507	2715922	13225	335734	15471	326292	0	0	0	0	0	0
22	1050	15903	492616	1492	26439	2590	31441	0	0	0	0	0	0
22	1070	70663	3717601	20346	437513	24734	418128	0	0	0	0	0	0
22	1090	40727	2037238	3860	73428	12818	207857	0	0	0	0	0	0
22	1110	62128	3029415	28418	731751	5033	113598	0	0	0	0	0	0
22	1130	40990	2196235	17946	477127	18841	347731	0	0	0	0	0	0
22	1150	5127	236730	75	1435	2214	32363	0	0	0	0	0	0
22	1170	21278	644657	2035	44270	6671	86676	0	0	0	0	0	0
22	1190	20818	783701	993	14127	4208	51042	0	0	0	0	0	0
22	1210	43793	2146572	9169	174017	14476	228723	0	0	0	0	0	0
22	1230	16188	476035	2063	48047	7791	97852	0	0	0	0	0	0
22	1250	25194	756194	1114	25058	9198	120145	0	0	0	0	0	0
22	1270	41580	2100934	17344	479517	16632	359581	0	0	0	0	0	0
22	1290	50913	2070735	3202	54539	36853	563328	0	0	0	0	0	0
