state	county	name	farms	facres	farmequi	horses	mules	tractors
53	370	CREEK	3555	364323	647560	6909	4713	44
53	390	CUSTER	2988	613007	2245077	12105	3821	669
53	410	DELAWARE	2460	269821	458362	5390	2795	62
53	430	DEWEY	2270	567023	1358640	8794	3100	419
53	450	ELLIS	1685	754350	1679138	7502	1430	602
53	470	GARFIELD	3478	710042	3610135	10149	3008	1462
53	490	GARVIN	3610	416482	981255	6906	6952	166
53	510	GRADY	4890	628851	1967323	10409	10199	433
53	530	GRANT	2757	668108	3651958	9567	2296	1517
53	550	GREER	2455	383210	1405517	5677	4881	278
53	570	HARMON	1799	306986	1048428	4548	4465	139
53	590	HARPER	1204	594817	1587392	6084	1601	598
53	610	HASKELL	2218	226183	272864	3064	4696	14
53	630	HUGHES	2993	330503	719066	5510	4619	38
53	650	JACKSON	2849	455047	1769945	7134	6786	402
53	670	JEFFERSON	1995	475335	691749	5346	4711	80
53	690	JOHNSTON	1526	318461	305014	3025	3439	40
53	710	KAY	2849	606384	2465084	11051	3275	1020
53	730	KINGFISHER	2444	530289	2234846	9103	2807	965
53	750	KIOWA	3532	604547	2758235	9849	5106	993
53	770	LATIMER	1221	130372	164095	2423	1808	13
53	790	LE FLORE	4360	322604	428165	4613	8034	18
53	810	LINCOLN	4402	550902	1198532	9053	5981	131
53	830	LOGAN	2833	408336	1139045	6055	2898	264
53	850	LOVE	1626	224329	349778	2651	3524	51
53	870	MCCLAIN	3014	323015	922817	5116	6452	131
53	890	MCCURTAIN	4221	253395	484039	4690	7233	15
53	910	MCINTOSH	3517	316712	473043	5555	7191	34
53	930	MAJOR	2093	561015	1758248	8524	1709	741
53	950	MARSHALL	1346	197111	246701	2040	3216	43
53	970	MAYES	2541	285377	539834	6084	3718	104
53	990	MURRAY	1018	165258	209650	2172	1626	24
53	1010	MUSKOGEE	4487	387929	817113	7677	8283	101
53	1030	NOBLE	2101	473812	1260186	7213	2088	479
53	1050	NOWATA	1523	266534	460177	5147	1582	148
53	1070	OKFUSKEE	3544	316954	697803	5262	6020	48
53	1090	OKLAHOMA	3111	346194	1275040	5246	3269	328
53	1110	OKMULGEE	3388	307711	520118	6214	4426	59
53	1130	OSAGE	2354	1032848	1060339	10263	4020	226
53	1150	OTTAWA	1811	220555	529130	4613	2330	109
53	1170	PAWNEE	2289	353211	586426	6680	2230	94
53	1190	PAYNE	2928	393216	848129	7393	3069	164
53	1210	PITTSBURG	3716	444771	539322	6814	6049	37
53	1230	PONTOTOC	2671	324881	550502	4626	4763	36
53	1250	POTTAWATOMIE	3760	389935	1059043	5883	4884	114
53	1270	PUSHMATAHA	1783	199838	165753	3822	2972	4
53	1290	ROGER MILLS	2353	654845	1275498	9997	4355	280
53	1310	ROGERS	2154	316639	557835	6160	2657	103
53	1330	SEMINOLE	2800	256290	676842	4416	4088	28
53	1350	SEQUOYAH	2769	207812	233212	3038	4970	23
53	1370	STEPHENS	2922	439799	769327	6589	5076	66
53	1390	TEXAS	2020	1151424	4200973	7431	1018	1462
53	1410	TILLMAN	2763	521777	2662725	5958	7955	978
53	1430	TULSA	2489	231705	906886	5208	3038	214
53	1450	WAGONER	3154	289491	496538	5595	5796	92
53	1470	WASHINGTON	1107	196766	311132	3366	952	84
53	1490	WASHITA	4506	611634	3365865	12288	6336	1011
53	1510	WOODS	2030	739633	2614690	8607	2199	931
53	1530	WOODWARD	1784	722063	1729609	8901	1991	496
54	0	TENNESSEE	245657	18003241	45758093	175375	318567	6865
54	10	ANDERSON	1445	120302	307862	919	1445	31
54	30	BEDFORD	2801	283434	706709	4539	4239	104
54	50	BENTON	1751	197306	256453	861	3352	70
54	70	BLEDSOE	927	108460	136408	639	1116	18
54	90	BLOUNT	2417	197176	630957	2001	2272	114
54	110	BRADLEY	1780	181579	482036	1081	2272	110
54	130	CAMPBELL	1754	110133	264779	951	1601	23
54	150	CANNON	1727	147444	189940	1962	2111	22
54	170	CARROLL	4310	312232	795691	2561	6394	51
54	190	CARTER	2348	114609	361834	1401	571	32
54	210	CHEATHAM	1509	121501	365512	732	2116	63
54	230	CHESTER	1891	149638	319169	661	3385	41
54	250	CLAIBORNE	3298	186120	428904	1744	2651	30
54	270	CLAY	1458	134654	145112	666	2078	17
54	290	COCKE	2707	197013	444383	1820	2922	47
54	310	COFFEE	2112	191505	355884	2223	2855	52
54	330	CROCKETT	3148	141782	632709	2170	5202	127
54	350	CUMBERLAND	1034	83812	141031	691	1124	11
54	370	DAVIDSON	2939	236290	1177989	2541	3543	234
54	390	DECATUR	1654	153686	244875	452	3102	39
54	410	DE KALB	2576	184391	282636	2125	3146	13
54	430	DICKSON	2487	213609	305435	1186	3189	64
54	450	DYER	3911	191418	918770	2079	6933	102
54	470	FAYETTE	5786	336437	759154	3713	7706	65
54	490	FENTRESS	987	80075	94637	393	1197	6
54	510	FRANKLIN	2553	214667	605706	2418	3540	76
