state	county	corn_a	corn_y	wheat_a	wheat_y	oats_a	oats_y	rice_a	rice_y	cotton_a	cotton_y	scane_a	scane_y
34	2150	35054	766404	7057	47121	3254	51414	0	0	13	3	0	0
34	2170	105393	1933140	9498	73117	25795	407282	0	0	0	0	0	0
34	2190	18427	335863	27227	292281	5024	92138	0	0	0	0	0	0
34	2210	14830	329197	5083	47758	2581	44487	0	0	0	0	0	0
34	2230	21836	482728	1672	14907	640	9660	0	0	840	114	0	0
34	2250	23669	552093	3422	28090	4918	89008	0	0	0	0	0	0
34	2270	37944	832486	2877	50177	8753	219154	0	0	0	0	0	0
34	2290	26380	620491	2583	15860	2166	38644	0	0	0	0	0	0
34	0	5482203	128954889	1439448	19131037	1162547	24333307	1517	60420	476234	194792	0	0
		0	0	0	0	0	0	0	0	0	0	0	0
													
35	10	93280	2512774	95917	2069667	24498	601192	0	0	0	0	0	0
35	30	177858	3315413	1946	35234	44088	1200567	0	0	0	0	0	0
35	50	12027	128240	29	287	97	2806	0	0	0	0	0	0
35	70	11666	101982	26537	386080	8868	158086	0	0	0	0	0	0
35	90	14449	190480	150	997	638	11148	0	0	0	0	0	0
35	110	128341	2285179	4138	62602	59577	1413709	0	0	0	0	0	0
35	130	23034	236779	28541	340133	19059	322712	0	0	0	0	0	0
35	150	73969	1706686	1694	21985	29717	900502	0	0	0	0	0	0
35	170	46705	586421	1129	9771	13751	249333	0	0	0	0	0	0
35	190	177701	3637168	37638	706012	25316	545229	0	0	0	0	0	0
35	210	92169	2545977	2831	58151	45702	1310329	0	0	0	0	0	0
35	230	110045	2997255	70342	1559109	51499	1544597	0	0	0	0	0	0
35	250	119262	2915144	44983	1048088	32094	930535	0	0	0	0	0	0
35	270	154875	4146505	1784	47845	94335	2828161	0	0	0	0	0	0
35	290	78813	1041408	54577	609303	4121	57952	0	0	0	0	0	0
35	310	70244	885722	1481	16945	8851	129224	0	0	0	0	0	0
35	330	62724	583706	144308	1660922	25388	437997	0	0	0	0	0	0
35	350	95414	2246003	92049	1913276	30317	748072	0	0	0	0	0	0
35	370	75457	1908811	24186	467481	43333	1135753	0	0	0	0	0	0
35	390	113946	3122625	1655	26316	70356	2119700	0	0	0	0	0	0
35	410	318140	5402690	27205	478104	52655	1213121	0	0	0	0	0	0
35	430	59479	1808082	2029	34980	19532	611007	0	0	0	0	0	0
35	450	15582	164143	18377	172872	14679	259376	0	0	0	0	0	0
35	470	148195	2564494	43803	717461	17988	389933	0	0	0	0	0	0
35	490	20739	206962	27933	499220	7877	158079	0	0	0	0	0	0
35	510	105247	3016712	506	10713	52086	1543166	0	0	0	0	0	0
35	530	103448	2599170	34988	727204	49289	1294591	0	0	0	0	0	0
35	550	64510	1798700	8728	190753	17658	502754	0	0	0	0	0	0
