state	county	name	var1	var2	var42	var99	var169	var170	var171	var173	var174	var175	var229	var236	var238	var249	var269	var273
62	910	OURAY	2620	162	78434	98395	1183	103	1080	20	6	14	8	1132	1058	0	0	0
62	930	PARK	1977	219	335608	255634	2316	213	2103	84	6	78	0	19	344	0	0	0
62	950	PHILLIPS	5499	843	360610	885100	5957	443	5514	915	231	684	79868	71752	11650	0	0	0
62	970	PITKIN	2707	166	51468	114720	1232	133	1099	24	0	24	0	528	1706	0	0	0
62	990	PROWERS	13845	1194	488674	557718	9842	1221	8621	1720	396	1324	27599	28795	1936	0	0	0
62	1010	PUEBLO	57638	1534	861347	718040	8117	803	7314	663	77	586	22735	11175	2132	0	0	0
62	1030	RIO BLANCO	3135	422	224849	294660	4728	621	4107	282	52	230	80	3664	2209	0	0	0
62	1050	RIO GRANDE	7855	535	162772	664153	3360	327	3033	518	36	482	1	5808	6981	0	0	0
62	1070	ROUTT	8948	834	379494	505857	7201	775	6426	69	11	58	6	6410	9685	0	0	0
62	1090	SAGUACHE	4638	346	404903	358658	3659	452	3207	340	69	271	0	2911	3565	0	0	0
62	1110	SAN JUAN	1700	0	0	0												
62	1130	SAN MIGUEL	5281	366	178645	174995	2404	188	2216	100	21	79	636	968	825	0	0	0
62	1150	SEDGWICK	4207	632	268587	483350	5385	233	5152	480	122	358	48686	39623	9026	0	0	0
62	1170	SUMMIT	1724	69	27523	46525	639	46	593	2	1	1	0	27	147	0	0	0
62	1190	TELLER	6696	186	111485	96745	1150	114	1036	79	12	67	18	4	629	0	0	0
62	1210	WASHINGTON	11208	1984	1122859	1334048	18194	1486	16708	1575	413	1162	124166	201971	7890	0	0	0
62	1230	WELD	54059	5610	1495456	3760667	37301	2675	34626	3897	586	3311	95520	107635	26641	0	0	0
62	1250	YUMA	13897	2303	1252489	1485529	16990	1133	15857	2833	502	2331	201694	163795	7162	0	0	0
63	0	IDAHO	431866	40592	8116147	26526166	232546	23216	209330	7845	1922	5923	63324	809204	132442	0	0	0
63	10	ADA	35213	2193	160151	1042875	6680	391	6289	206	46	160	4976	9699	2981	0	0	0
63	30	ADAMS	2966	437	151313	294891	2459	176	2283	103	29	74	387	2697	813	0	0	0
63	50	BANNOCK	27532	2214	435852	1206435	13056	1587	11469	229	97	132	265	60215	4653	0	0	0
63	70	BEAR LAKE	8783	799	190177	448858	4813	502	4311	22	7	15	0	14195	2511	0	0	0
63	90	BENEWAH	6997	477	96704	265134	1992	81	1911	102	9	93	115	12722	2666	0	0	0
63	110	BINGHAM	18310	2293	258242	1284706	11719	1213	10506	152	80	72	375	19187	5682	0	0	0
63	130	BLAINE	4473	286	110224	205130	2837	384	2453	64	27	37	2	2376	1258	0	0	0
